884703,199566	873853,175167	0
870683,170226	860783,151128	0
856345,140393	840766,116186	0

663910,334472	662168,306961	0
663168,302218	666688,278213	0
669937,272639	681058,252983	0
685794,248972	706878,240835	0
715587,236244	729629,226094	0

347267,864949	368583,844045	0
371774,834307	395388,820456	0
399517,815241	398166,787533	0
401203,779639	403785,743585	0

701041,753681	715687,727035	0
726629,721054	740411,693203	0
744709,691230	734186,664622	0
733538,656832	722456,632724	0

409428,617142	391987,584077	0
383751,581564	348554,562785	0
342461,553570	337718,517044	0
336977,506713	332690,466743	0

375560,275319	340523,274257	0
308763,274120	264461,273636	0
346876,273395	300558,271515	0

577404,323458	514090,428444	1
415915,528269	476107,524142	1
591630,291548	530744,214464	1
647728,221882	619529,156816	1
802994,340182	868690,289990	1
852238,273910	718403,292236	1
787723,606499	873756,648105	1
793585,624677	825445,696642	1
760964,667130	816611,713534	1
481602,771163	548472,894328	1
411086,843982	469522,790458	1
165222,876599	209420,799438	1
339889,206302	338405,126917	1

